specObjID,ra,dec,z,class
4902264224258650112,0.0179938989999755,-2.6381552,0.3987366,GALAXY
8069528427667582976,0.0179983310000011,-8.5616212,0.5212533,GALAXY
8069525129132699648,0.0180870799999866,-9.1890184,0.6028469,GALAXY
6898401203991539712,0.0183592660000045,18.465735,0.6094206,GALAXY
3153740544606234624,0.018483,25.272345,-0.0001743064,STAR
1228395055081875456,0.0185,-0.08336,0.02376629,GALAXY
8032330574272851968,0.0186155129999861,30.699274,0.0511887,GALAXY
7745195586127327232,0.0186407179999719,22.694423,0.6620634,GALAXY
7918458827891732480,0.0188004639999804,-5.0552878,0.7396975,GALAXY
6960404862295797760,0.0188281009999969,10.088487,0.5913532,GALAXY
6879497850414886912,0.0188533109999867,22.076913,0.4751133,GALAXY
5106138419898806272,0.0188564480000082,8.6986148,0.6377648,GALAXY
4746881785190346752,0.0188778680000041,-0.6047935,0.5642247,GALAXY
2961191044626016256,0.018918,-4.896259,0,GALAXY
731893249517578240,0.01916986,-10.976324,0.1502055,GALAXY
731957845825710080,0.019198135,-8.9437961,0.02708519,GALAXY
4815720284546592768,0.0192200000000184,3.8562326,2.794866,QSO
6949222555488808960,0.0193471079999767,16.311929,0.4550028,GALAXY
8043502711889129472,0.0193679010000096,32.78677,0.1079337,GALAXY
4902362080793522176,0.0194734390000235,-1.9739827,0.5710615,GALAXY
2961211385591130112,0.019605,-4.160851,-6.187303E-05,STAR
435845889542612992,0.01979171,0.78170108,0.08038615,GALAXY
6926539903724089344,0.0198101080000015,8.7042404,0.5355478,GALAXY
7330981518414376960,0.0198765330000015,28.265213,0.4635431,GALAXY
1732894696180574208,0.020032,0.70725101,0.08255777,GALAXY
6926549249572925440,0.0201184790000184,8.2444041,0.4807095,GALAXY
6926541827869437952,0.0201989669999989,8.9509853,0.3078573,GALAXY
4971000468899295232,0.0202242810000257,6.3010438,2.384076,QSO
1676588981405378560,0.020501,0.835504,4.464366E-05,STAR
4746993935376379904,0.0205601580000234,0.59361511,0.5272085,GALAXY
3155968980418586624,0.020675,27.22661,-0.000113751,STAR
